src,src_port,dst,dst_port,protocol,occurrences
192.168.186.135,49612,192.168.199.134,445,TCP,1
192.168.187.135,49612,192.168.199.134,445,TCP,1
192.168.189.134,445,192.168.199.135,49612,TCP,1
192.168.189.135,49612,192.168.199.134,445,TCP,1
192.168.19.134,445,192.168.199.135,49612,TCP,1
192.168.191.135,49612,192.168.199.134,445,TCP,1
192.168.192.134,445,192.168.199.135,49612,TCP,1
192.168.193.135,49612,192.168.199.134,445,TCP,1
192.168.194.135,49612,192.168.199.134,445,TCP,1
192.168.195.133,49671,192.168.199.134,445,TCP,1
192.168.195.134,445,192.168.199.133,49671,TCP,1
192.168.195.134,445,192.168.199.135,49612,TCP,1
192.168.195.135,49612,192.168.199.134,441,TCP,1
192.168.195.135,49612,192.168.199.134,445,TCP,1
192.168.195.37,49612,0.168.199.134,445,TCP,1
192.168.197.134,445,192.168.199.135,49612,TCP,1
192.168.197.135,49612,192.168.199.134,445,TCP,1
192.168.198.133,49671,192.168.199.134,445,TCP,1
192.168.198.134,445,192.168.199.133,49671,TCP,1
192.168.198.134,445,192.168.199.135,49612,TCP,1
192.168.198.135,49612,192.168.199.134,445,TCP,1
192.168.198.135,49612,192.168.199.134,9472,TCP,1
192.168.199.1,137,192.168.199.255,137,UDP,2
192.168.199.1,138,192.168.199.255,138,UDP,1
192.168.199.1,139,192.168.199.133,49672,TCP,1
192.168.199.1,139,192.168.199.133,49673,TCP,1
192.168.199.1,445,192.168.199.135,49612,TCP,1
192.168.199.1,19393,192.168.199.134,445,TCP,1
192.168.199.1,51393,192.168.199.134,293,TCP,1
192.168.199.1,51393,192.168.199.134,445,TCP,3
192.168.199.1,51393,192.37.0.134,445,TCP,1
192.168.199.1,52417,192.168.199.134,445,TCP,1
192.168.199.10,49612,192.168.199.134,445,TCP,1
192.168.199.100,445,192.168.199.135,49612,TCP,1
192.168.199.100,49612,192.168.199.134,445,TCP,1
192.168.199.101,445,192.168.199.135,49612,TCP,1
192.168.199.101,49612,192.168.199.134,445,TCP,1
192.168.199.102,445,192.168.199.135,49612,TCP,1
192.168.199.102,49612,192.168.199.134,445,TCP,1
192.168.199.103,445,192.168.199.135,49612,TCP,1
192.168.199.103,49612,192.168.199.134,445,TCP,1
192.168.199.104,445,192.168.199.135,49612,TCP,1
192.168.199.104,49612,192.168.199.134,445,TCP,1
192.168.199.105,445,192.168.199.135,49612,TCP,1
192.168.199.105,49612,192.168.199.134,445,TCP,1
192.168.199.106,445,192.168.199.135,49612,TCP,1
192.168.199.106,49612,192.168.199.134,445,TCP,1
192.168.199.107,445,192.168.199.135,49612,TCP,1
192.168.199.107,49612,192.168.199.134,445,TCP,1
192.168.199.108,445,192.168.199.135,49612,TCP,1
192.168.199.108,49612,192.168.199.134,445,TCP,1
192.168.199.109,445,192.168.199.135,49612,TCP,1
192.168.199.109,49612,192.168.199.134,445,TCP,1
192.168.199.11,445,192.168.199.135,49612,TCP,1
192.168.199.11,49612,192.168.199.134,445,TCP,1
192.168.199.110,445,192.168.199.135,49612,TCP,1
192.168.199.110,49612,192.168.199.134,445,TCP,1
192.168.199.111,445,192.168.199.135,49612,TCP,1
192.168.199.111,49612,192.168.199.134,445,TCP,1
192.168.199.112,445,192.168.199.135,49612,TCP,1
192.168.199.112,49612,192.168.199.134,445,TCP,1
192.168.199.113,445,192.168.199.135,49612,TCP,1
192.168.199.113,49612,192.168.199.134,445,TCP,1
192.168.199.114,445,192.168.199.135,49612,TCP,1
192.168.199.114,49612,192.168.199.134,445,TCP,1
192.168.199.115,445,192.168.199.135,49612,TCP,1
192.168.199.115,49612,192.168.199.134,445,TCP,1
192.168.199.116,445,192.168.199.135,49612,TCP,1
192.168.199.116,49612,192.168.199.134,445,TCP,1
192.168.199.117,445,192.168.199.135,49612,TCP,1
192.168.199.117,49612,192.168.199.134,445,TCP,1
192.168.199.118,445,192.168.199.135,49612,TCP,1
192.168.199.118,49612,192.168.199.134,445,TCP,1
192.168.199.119,445,192.168.199.135,49612,TCP,1
192.168.199.119,49612,192.168.199.134,445,TCP,1
192.168.199.120,445,192.168.199.135,49612,TCP,1
192.168.199.120,49612,192.168.199.134,445,TCP,1
192.168.199.121,445,192.168.199.135,49612,TCP,1
192.168.199.121,49612,192.168.199.134,445,TCP,1
192.168.199.121,49671,192.168.199.134,445,TCP,1
192.168.199.122,445,192.168.199.135,49612,TCP,1
192.168.199.122,49612,192.168.199.134,445,TCP,1
192.168.199.123,445,192.168.199.135,49612,TCP,1
192.168.199.123,49612,192.168.199.134,445,TCP,1
192.168.199.125,49612,192.168.199.134,445,TCP,1
192.168.199.126,49612,192.168.199.134,445,TCP,1
192.168.199.127,49612,192.168.199.134,445,TCP,1
192.168.199.128,445,192.168.199.135,49612,TCP,1
192.168.199.129,445,192.168.199.135,49612,TCP,1
192.168.199.129,49612,192.168.199.134,445,TCP,1
192.168.199.13,445,192.168.199.135,49612,TCP,1
192.168.199.130,445,192.168.199.135,49612,TCP,1
192.168.199.131,49612,192.168.199.134,445,TCP,1
192.168.199.132,445,192.168.199.133,49671,TCP,1
192.168.199.132,445,192.168.199.135,49612,TCP,1
192.168.199.132,49612,192.168.199.134,445,TCP,1
192.168.199.132,49671,192.168.199.134,445,TCP,1
192.168.199.133,0,192.168.199.134,0,TCP,1
192.168.199.133,7,192.168.199.37,445,TCP,1
192.168.199.133,24,192.168.199.134,1992,TCP,1
192.168.199.133,137,192.168.199.255,137,UDP,1
192.168.199.133,9472,192.168.199.134,445,TCP,1
192.168.199.133,20999,192.168.199.134,445,TCP,1
192.168.199.133,22535,192.168.199.134,445,TCP,1
192.168.199.133,30471,192.168.199.134,445,TCP,1
192.168.199.133,35847,192.168.199.134,445,TCP,1
192.168.199.133,43690,170.170.170.170,43690,TCP,1
192.168.199.133,43690,192.168.170.170,43690,TCP,1
192.168.199.133,43690,192.168.199.134,43690,TCP,1
192.168.199.133,43690,192.168.199.170,43690,TCP,1
192.168.199.133,43690,192.170.170.170,43690,TCP,1
192.168.199.133,49612,192.168.199.134,445,TCP,1
192.168.199.133,49667,192.168.199.134,445,TCP,1
192.168.199.133,49669,192.168.199.134,445,TCP,1
192.168.199.133,49671,192.136.199.134,445,TCP,1
192.168.199.133,49671,192.160.199.134,445,TCP,1
192.168.199.133,49671,192.168.146.134,445,TCP,1
192.168.199.133,49671,192.168.152.134,445,TCP,1
192.168.199.133,49671,192.168.197.134,445,TCP,1
192.168.199.133,49671,192.168.198.134,445,TCP,1
192.168.199.133,49671,192.168.199.119,445,TCP,1
192.168.199.133,49671,192.168.199.134,189,TCP,1
192.168.199.133,49671,192.168.199.134,293,TCP,1
192.168.199.133,49671,192.168.199.134,324,TCP,1
192.168.199.133,49671,192.168.199.134,338,TCP,1
192.168.199.133,49671,192.168.199.134,354,TCP,1
192.168.199.133,49671,192.168.199.134,361,TCP,1
192.168.199.133,49671,192.168.199.134,426,TCP,1
192.168.199.133,49671,192.168.199.134,429,TCP,1
192.168.199.133,49671,192.168.199.134,441,TCP,1
192.168.199.133,49671,192.168.199.134,444,TCP,1
192.168.199.133,49671,192.168.199.134,445,TCP,4
192.168.199.133,49671,192.168.199.134,509,TCP,1
192.168.199.133,49671,192.168.199.134,1469,TCP,1
192.168.199.133,49671,192.168.199.134,2493,TCP,1
192.168.199.133,49671,192.168.199.134,4541,TCP,1
192.168.199.133,49671,192.168.199.134,8637,TCP,1
192.168.199.133,49671,192.168.199.134,9472,TCP,1
192.168.199.133,49671,192.168.199.134,13501,TCP,1
192.168.199.133,49671,192.168.199.134,16829,TCP,1
192.168.199.133,49671,192.168.199.134,21949,TCP,1
192.168.199.133,49671,192.168.199.134,27325,TCP,1
192.168.199.133,49671,192.168.199.134,60605,TCP,1
192.168.199.133,49671,192.168.199.135,445,TCP,1
192.168.199.133,49671,192.168.199.150,445,TCP,1
192.168.199.133,49671,192.168.199.49,445,TCP,1
192.168.199.133,49671,192.168.199.75,445,TCP,1
192.168.199.133,49671,192.168.199.78,445,TCP,1
192.168.199.133,49671,192.168.199.79,445,TCP,1
192.168.199.133,49671,192.168.199.87,445,TCP,1
192.168.199.133,49671,192.168.215.134,445,TCP,1
192.168.199.133,49671,192.168.231.134,445,TCP,1
192.168.199.133,49671,192.168.37.0,445,TCP,1
192.168.199.133,49671,192.169.199.134,445,TCP,1
192.168.199.133,49671,192.184.199.134,445,TCP,1
192.168.199.133,49671,192.232.199.134,445,TCP,1
192.168.199.133,49671,192.37.0.134,445,TCP,1
192.168.199.133,49671,192.40.199.134,445,TCP,1
192.168.199.133,49671,193.168.199.134,445,TCP,1
192.168.199.133,49671,196.168.199.134,445,TCP,1
192.168.199.133,49671,200.168.199.134,445,TCP,1
192.168.199.133,49671,208.168.199.134,445,TCP,1
192.168.199.133,49671,37.0.199.134,445,TCP,2
192.168.199.133,49672,192.168.199.1,139,TCP,1
192.168.199.133,49673,192.168.199.1,139,TCP,1
192.168.199.133,49679,192.168.199.134,445,TCP,1
192.168.199.133,49701,192.168.199.134,189,TCP,1
192.168.199.133,49703,192.168.199.134,445,TCP,1
192.168.199.133,49716,192.168.199.134,445,TCP,1
192.168.199.133,49735,192.168.199.134,445,TCP,1
192.168.199.133,49806,192.168.199.134,445,TCP,1
192.168.199.133,49834,192.168.199.134,43690,TCP,1
192.168.199.133,49927,192.168.199.134,445,TCP,1
192.168.199.133,50124,192.168.199.1,53,UDP,1
192.168.199.133,50384,192.168.199.1,53,UDP,1
