src_fi,dst_fi,src_port_fi,dst_port_fi,protocol_fi,src_fj,dst_fj,src_port_fj,dst_port_fj,protocol_fj,Ni,Nj,Tij,S_dep
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,208.168.199.134,49671,445,TCP,1,1,3,3.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,189,TCP,1,1,33,33.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49806,445,TCP,1,1,50,50.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,59399,445,TCP,1,1,23,23.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,30471,445,TCP,1,1,11,11.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,60605,TCP,1,1,19,19.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49679,445,TCP,1,1,39,39.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,27325,TCP,1,1,21,21.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.135,49671,445,TCP,1,1,23,23.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.79,49671,445,TCP,1,1,26,26.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,441,TCP,1,1,4,4.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,0,0,TCP,1,1,23,23.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49834,43690,TCP,1,1,34,34.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,354,TCP,1,1,18,18.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.198.134,49671,445,TCP,1,1,11,11.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.184.199.134,49671,445,TCP,1,1,20,20.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,1469,TCP,1,1,47,47.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49669,445,TCP,1,1,43,43.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49735,445,TCP,1,1,11,11.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.75,49671,445,TCP,1,1,11,11.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.146.134,49671,445,TCP,1,1,24,24.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.199.134,49671,2493,TCP,1,1,5,5.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.168.197.134,49671,445,TCP,1,1,25,25.0
192.168.199.133,192.168.197.134,49671,445,TCP,192.168.199.133,192.232.199.134,49671,445,TCP,1,1,5,5.0
