src,src_port,dst,dst_port,protocol,start,end,duration,packets,bytes,occurrence_id
192.168.199.113,51393,192.168.199.134,445,TCP,1476813452.782974,1476813452.782974,0.000000,1,130,1
192.168.199.134,445,192.168.133.1,51393,TCP,1476813452.783503,1476813452.783503,0.000000,1,142,1
192.168.53.1,51393,192.168.199.134,445,TCP,1476813452.78763,1476813452.78763,0.00000,1,166,1
192.168.81.1,51393,192.168.194.134,445,TCP,1476813452.788634,1476813452.788634,0.000000,1,166,1
192.168.199.1,17089,192.168.199.76,445,TCP,1476813452.789394,1476813452.789394,0.000000,1,99,1
192.184.199.1,51393,192.168.199.134,445,TCP,1476813452.941693,1476813452.941693,0.000000,1,130,1
192.168.199.134,445,208.168.199.1,51393,TCP,1476813452.94295,1476813452.94295,0.00000,1,93,1
192.168.199.134,445,208.168.199.1,51393,TCP,1476813875.429956,1476813875.429956,0.000000,1,142,2
99.75.199.1,51393,192.168.199.134,445,TCP,1476813452.945933,1476813452.945933,0.000000,1,166,1
192.168.199.1,51393,192.168.121.134,445,TCP,1476813452.946606,1476813452.946606,0.000000,1,130,1
192.16.199.1,51393,192.168.199.134,445,TCP,1476813453.098948,1476813453.098948,0.000000,1,166,1
192.168.199.1,51393,192.168.199.134,2493,TCP,1476813453.099533,1476813453.099533,0.000000,1,130,1
192.168.199.134,16061,192.168.199.1,51393,TCP,1476813453.099943,1476813453.099943,0.000000,1,142,1
192.168.199.84,447,192.168.199.1,51393,TCP,1476813453.100463,1476813453.100463,0.000000,1,126,1
192.168.199.1,51393,192.168.135.134,445,TCP,1476813453.100975,1476813453.100975,0.000000,1,174,1
192.168.199.1,51393,192.168.135.134,445,TCP,1476813601.654189,1476813601.654189,0.000000,1,162,2
192.168.199.134,445,192.37.0.1,51393,TCP,1476813453.101232,1476813453.101232,0.000000,1,93,1
192.168.199.134,445,192.37.0.1,51393,TCP,1476813516.665016,1476813516.665016,0.000000,1,193,2
192.168.199.134,445,192.37.0.1,51393,TCP,1476813601.669694,1476813649.271801,47.602107,2,335,3
192.168.199.134,445,192.168.199.1,51282,TCP,1476813453.102277,1476813453.102277,0.000000,1,142,1
192.168.199.134,445,192.168.199.1,51282,TCP,1476813516.697182,1476813516.697182,0.000000,1,158,2
192.168.199.134,41527,192.168.199.1,0,TCP,1476813453.104022,1476813453.104022,0.000000,1,193,1
192.168.199.1,51395,192.54.199.134,445,TCP,1476813453.104104,1476813453.104104,0.000000,1,130,1
192.168.199.134,445,196.168.199.1,51393,TCP,1476813453.105291,1476813453.105291,0.000000,1,93,1
192.168.199.134,445,196.168.199.1,51393,TCP,1476813668.440164,1476813668.440164,0.000000,1,158,2
192.114.199.134,445,192.168.199.1,51393,TCP,1476813453.265434,1476813453.265434,0.000000,1,193,1
192.168.199.1,51393,192.112.199.134,445,TCP,1476813453.27074,1476813453.27074,0.00000,1,99,1
192.168.199.1,20504,192.168.199.134,254,TCP,1476813453.271772,1476813453.271772,0.000000,1,166,1
192.168.199.134,445,192.168.199.104,51393,TCP,1476813453.272172,1476813453.272172,0.000000,1,193,1
192.168.199.134,43690,192.170.170.170,43690,TCP,1476813453.27489,1476813453.27489,0.00000,1,158,1
192.168.199.134,43690,192.170.170.170,43690,TCP,1476813523.86321,1476813523.86321,0.00000,1,114,2
192.168.199.134,43690,192.170.170.170,43690,TCP,1476813966.92177,1476814010.461211,43.539441,98,9114,3
192.168.199.1,43690,192.168.199.134,43690,TCP,1476813453.376001,1476813453.376001,0.000000,1,130,1
192.71.199.134,445,192.168.199.1,51393,TCP,1476813453.376192,1476813453.376192,0.000000,1,158,1
192.168.199.1,43690,170.170.170.170,43690,TCP,1476813453.376264,1476813453.376264,0.000000,1,130,1
192.168.199.1,43690,170.170.170.170,43690,TCP,1476813649.345928,1476813649.345928,0.000000,1,156,2
192.168.199.140,20157,192.168.199.1,51393,TCP,1476813453.376398,1476813453.376398,0.000000,1,142,1
192.168.199.1,51393,192.168.199.134,365,TCP,1476813453.376497,1476813453.376497,0.000000,1,176,1
192.168.37.0,51393,192.168.199.134,445,TCP,1476813453.377059,1476813453.377059,0.000000,1,99,1
192.168.37.0,51393,192.168.199.134,445,TCP,1476813516.688162,1476813516.688162,0.000000,1,130,2
192.168.195.1,51393,192.168.199.134,445,TCP,1476813453.378983,1476813453.378983,0.000000,1,176,1
192.168.207.134,445,192.168.199.1,51393,TCP,1476813453.380934,1476813453.380934,0.000000,1,158,1
192.168.207.134,445,192.168.199.1,51393,TCP,1476813650.718382,1476813650.718382,0.000000,1,193,2
89.168.199.1,51393,192.168.199.134,445,TCP,1476813453.539923,1476813453.539923,0.000000,1,130,1
192.168.199.134,189,192.168.199.37,51393,TCP,1476813453.54221,1476813453.54221,0.00000,1,193,1
192.168.199.134,189,192.168.199.37,51393,TCP,1476813649.350605,1476813649.350605,0.000000,1,142,2
192.168.199.107,445,192.168.199.1,51393,TCP,1476813453.542677,1476813453.542677,0.000000,1,142,1
192.168.199.1,18625,192.168.199.134,445,TCP,1476813453.54276,1476813453.54276,0.00000,1,174,1
192.168.199.134,189,192.168.199.1,51393,TCP,1476813453.644422,1476813453.644422,0.000000,1,158,1
73.168.199.134,445,192.168.199.1,51393,TCP,1476813453.645093,1476813453.645093,0.000000,1,126,1
192.168.199.1,51393,192.40.199.134,445,TCP,1476813453.645169,1476813453.645169,0.000000,1,99,1
192.168.199.134,445,192.168.199.1,51329,TCP,1476813453.645339,1476813453.645339,0.000000,1,93,1
192.168.199.134,445,192.168.199.1,51329,TCP,1476813649.354019,1476813649.354019,0.000000,1,142,2
192.168.199.1,51393,192.37.0.134,445,TCP,1476813453.64557,1476813453.64557,0.00000,1,166,1
