src,src_port,dst,dst_port,protocol,start,end,duration,packets,bytes,occurrence_id
192.168.120.135,49612,192.168.199.134,445,TCP,1476813972.125444,1476814006.753923,34.628479,6,702,2
192.168.199.134,334,192.168.199.135,49612,TCP,1476813966.962004,1476814010.137754,43.175750,7,651,2
192.168.195.135,49612,192.168.199.134,445,TCP,1476813967.512717,1476814007.925817,40.413100,49,5733,2
192.37.0.134,445,192.168.199.1,51393,TCP,1476813598.878515,1476813598.918949,0.040434,2,416,1
192.168.199.134,329,192.168.199.1,51393,TCP,1476813601.659431,1476813649.353535,47.694104,2,316,1
192.168.199.135,63520,192.168.199.1,53,UDP,1476813605.063824,1476813609.103949,4.040125,3,255,1
200.168.199.1,51393,192.168.199.134,445,TCP,1476813647.815999,1476813668.759066,20.943067,2,364,1
192.168.199.1,52417,192.168.199.134,445,TCP,1476813649.260269,1476813649.339028,0.078759,2,264,1
192.168.199.142,445,192.168.199.1,51393,TCP,1476813649.267787,1476813649.34728,0.079493,2,300,1
192.168.199.133,137,192.168.199.255,137,UDP,1476813760.635754,1476813762.179343,1.543589,3,276,2
192.168.199.133,56170,192.168.199.1,53,UDP,1476813666.485855,1476813669.507108,3.021253,2,150,1
192.168.199.133,49672,192.168.199.1,139,TCP,1476813666.489731,1476813666.503331,0.013600,4,466,1
192.168.199.1,139,192.168.199.133,49672,TCP,1476813666.489842,1476813666.503242,0.013400,4,672,1
192.168.199.1,139,192.168.199.133,49673,TCP,1476813666.513035,1476813677.242555,10.729520,8,1067,1
192.168.199.133,49673,192.168.199.1,139,TCP,1476813666.513661,1476813677.242642,10.728981,8,1050,1
0.168.199.134,445,192.168.199.1,51393,TCP,1476813870.522687,1476813880.796903,10.274216,2,286,2
192.168.199.133,54138,192.168.199.1,53,UDP,1476813678.211452,1476813686.241443,8.029991,3,252,1
192.168.199.37,49671,0.168.199.134,445,TCP,1476813932.945927,1476813945.695753,12.749826,5,585,2
192.168.199.134,43690,192.168.199.170,43690,TCP,1476813934.383,1476814010.532394,76.149394,84,7957,2
192.168.199.134,445,192.168.199.135,49608,TCP,1476813966.924314,1476814010.176136,43.251822,49,4557,2
192.168.199.135,49612,192.38.199.134,445,TCP,1476814002.243995,1476814008.771054,6.527059,2,234,2
192.168.199.133,49671,192.168.37.0,445,TCP,1476813933.823806,1476813946.947247,13.123441,4,492,2
192.160.199.133,49671,192.168.199.134,445,TCP,1476813931.70028,1476813946.385065,14.684785,4,480,2
192.37.0.134,445,192.168.199.133,49671,TCP,1476813937.195598,1476813950.681702,13.486104,3,346,2
192.168.199.134,445,192.168.199.133,49701,TCP,1476813687.029365,1476813696.936923,9.907558,4,486,1
192.168.199.134,445,192.168.199.133,49701,TCP,1476813929.820544,1476813946.948123,17.127579,3,341,2
192.168.199.150,445,192.168.199.133,49671,TCP,1476813937.760211,1476813940.633086,2.872875,2,261,2
192.168.199.133,49671,192.168.199.134,9472,TCP,1476813933.073914,1476813941.822466,8.748552,2,246,2
192.168.199.6,445,192.168.199.133,49671,TCP,1476813938.320892,1476813941.321077,3.000185,2,239,2
192.168.199.134,445,192.168.199.165,49671,TCP,1476813909.290471,1476813932.321241,23.030770,3,402,2
192.168.199.133,49671,37.0.199.134,445,TCP,1476813687.159002,1476813688.723156,1.564154,2,281,1
192.168.199.133,49671,37.0.199.134,445,TCP,1476813930.948076,1476813934.507943,3.559867,2,234,2
192.168.199.133,0,192.168.199.134,0,TCP,1476813934.322039,1476813943.885347,9.563308,3,351,2
192.184.199.134,445,192.168.199.133,49671,TCP,1476813930.009162,1476813979.883581,49.874419,6,705,2
192.168.199.133,43690,192.168.199.134,43690,TCP,1476813939.386058,1476813945.384842,5.998784,4,480,2
192.168.199.134,445,192.168.199.133,9472,TCP,1476813935.447445,1476813946.57402,11.126575,6,763,2
192.168.199.133,7,192.168.199.37,445,TCP,1476813932.1335,1476813948.197663,16.064163,6,726,2
192.168.199.134,16829,192.168.199.133,49671,TCP,1476813939.50923,1476813957.73545,18.22622,2,176,2
192.168.199.133,49671,192.168.231.134,445,TCP,1476813936.07269,1476813937.135432,1.062742,2,234,2
192.168.199.133,49671,192.37.0.134,445,TCP,1476813938.634786,1476813947.698199,9.063413,6,639,2
192.37.0.133,49671,192.168.199.134,445,TCP,1476813936.446155,1476813947.758119,11.311964,8,948,2
192.168.199.134,1469,192.168.199.133,49671,TCP,1476813937.694962,1476813947.258979,9.564017,3,341,2
192.168.199.134,413,192.168.199.133,49671,TCP,1476813934.070813,1476813939.198214,5.127401,3,394,2
0.168.199.133,49671,192.168.199.134,445,TCP,1476813932.945509,1476813945.320876,12.375367,2,234,2
192.168.199.134,9472,192.168.199.133,49671,TCP,1476813929.007984,1476813966.654364,37.646380,12,1403,2
192.168.199.132,445,192.168.199.133,49671,TCP,1476813942.198796,1476813945.761589,3.562793,4,463,2
192.168.199.133,49671,192.168.199.135,445,TCP,1476813934.758609,1476813943.38263,8.624021,3,288,2
192.168.199.135,52299,192.168.199.1,53,UDP,1476813712.282181,1476813715.308786,3.026605,3,255,1
192.168.199.134,445,192.168.199.133,49679,TCP,1476813930.259556,1476813939.072483,8.812927,3,426,2
192.168.215.134,445,192.168.199.133,49671,TCP,1476813930.512473,1476813932.136592,1.624119,2,252,2
192.168.37.0,49671,192.168.199.134,445,TCP,1476813929.88234,1476813936.071537,6.189197,3,363,2
192.168.199.135,62659,192.168.199.1,53,UDP,1476813761.453892,1476813768.489109,7.035217,3,255,1
192.168.199.134,293,192.168.199.135,204,TCP,1476813967.258612,1476814010.485352,43.226740,155,14415,2
78.168.199.135,49612,192.168.199.134,445,TCP,1476813972.140394,1476814008.339524,36.199130,8,936,2
192.168.199.134,445,192.168.135.135,49612,TCP,1476813967.726728,1476814010.434154,42.707426,43,3999,2
192.168.199.133,50384,192.168.199.1,53,UDP,1476813769.745732,1476813773.772947,4.027215,4,344,1
192.168.199.135,64659,192.168.199.1,53,UDP,1476813807.021263,1476813815.070462,8.049199,5,425,1
192.168.135.134,445,192.168.199.133,49671,TCP,1476813929.633924,1476813938.447858,8.813934,3,361,2
192.168.199.135,56947,192.168.199.1,53,UDP,1476813852.995282,1476813861.04376,8.048478,4,340,1
192.168.199.1,138,192.168.199.255,138,UDP,1476814013.262725,1476814043.392472,30.129747,2,473,2
192.168.199.54,445,192.168.199.135,49612,TCP,1476813972.300741,1476813994.869635,22.568894,4,372,2
192.168.199.135,49612,78.168.199.134,445,TCP,1476813985.699366,1476814005.856667,20.157301,4,468,2
192.170.199.134,445,192.168.199.135,49612,TCP,1476813967.613841,1476814010.286389,42.672548,49,4557,2
